# Observert dognnedbor, audna. Element sum(precipitation_amount P1D), timeOffset PT6H.
# Dognet gaar fra 06 UTC dagen for til 06 UTC paa datoen.
# Primaer SN41175 (Laudal - Kleiven, 2.4 km), reserve SN41860 (Kvineshei - Sorhelle, 24.6 km).
# Kun kvalitetskode 0-2. Tom mm betyr ingen godkjent maaling.
# Kilde: Meteorologisk institutt (CC BY 4.0).
dato;mm;kilde
2016-06-01;0.0;SN41860
2016-06-02;0.0;SN41860
2016-06-03;0.0;SN41860
2016-06-04;0.0;SN41860
2016-06-05;0.0;SN41860
2016-06-06;0.0;SN41860
2016-06-07;0.0;SN41860
2016-06-08;0.0;SN41860
2016-06-09;0.0;SN41860
2016-06-10;0.0;SN41860
2016-06-11;0.8;SN41860
2016-06-12;4.6;SN41860
2016-06-13;0.7;SN41860
2016-06-14;0.0;SN41860
2016-06-15;0.6;SN41860
2016-06-16;12.2;SN41860
2016-06-17;18.1;SN41860
2016-06-18;1.0;SN41860
2016-06-19;0.0;SN41860
2016-06-20;0.2;SN41860
2016-06-21;45.0;SN41860
2016-06-22;0.0;SN41860
2016-06-23;0.1;SN41860
2016-06-24;0.5;SN41860
2016-06-25;5.2;SN41860
2016-06-26;11.0;SN41860
2016-06-27;15.3;SN41860
2016-06-28;5.3;SN41860
2016-06-29;0.3;SN41860
2016-06-30;33.5;SN41860
2016-07-01;10.4;SN41860
2016-07-02;9.8;SN41175
2016-07-03;7.0;SN41175
2016-07-04;0.0;SN41175
2016-07-05;0.1;SN41860
2016-07-06;1.2;SN41175
2016-07-07;0.0;SN41175
2016-07-08;2.9;SN41175
2016-07-09;0.0;SN41175
2016-07-10;1.1;SN41175
2016-07-11;9.8;SN41175
2016-07-12;5.7;SN41175
2016-07-13;0.2;SN41175
2016-07-14;0.3;SN41860
2016-07-15;13.4;SN41175
2016-07-16;0.4;SN41175
2016-07-17;0.1;SN41175
2016-07-18;0.2;SN41860
2016-07-19;0.0;SN41175
2016-07-20;0.0;SN41175
2016-07-21;0.0;SN41175
2016-07-22;0.0;SN41175
2016-07-23;0.0;SN41175
2016-07-24;0.0;SN41175
2016-07-25;10.1;SN41175
2016-07-26;6.1;SN41175
2016-07-27;4.9;SN41175
2016-07-28;20.2;SN41175
2016-07-29;0.1;SN41175
2016-07-30;14.0;SN41175
2016-07-31;0.6;SN41175
2016-08-01;2.1;SN41175
2016-08-02;0.7;SN41175
2016-08-03;0.3;SN41860
2016-08-04;34.3;SN41175
2016-08-05;26.3;SN41175
2016-08-06;0.1;SN41175
2016-08-07;0.1;SN41175
2016-08-08;17.6;SN41175
2016-08-09;7.2;SN41175
2016-08-10;0.0;SN41175
2016-08-11;0.0;SN41860
