# Observert dognnedbor, lygna. Element sum(precipitation_amount P1D), timeOffset PT6H.
# Dognet gaar fra 06 UTC dagen for til 06 UTC paa datoen.
# Primaer SN41480 (Aseral - Kyrkjebygda, 19.4 km), reserve SN42520 (Risnes i Fjotland, 25.1 km).
# Kun kvalitetskode 0-2. Tom mm betyr ingen godkjent maaling.
# Kilde: Meteorologisk institutt (CC BY 4.0).
dato;mm;kilde
2016-06-01;0.0;SN41480
2016-06-02;0.0;SN41480
2016-06-03;0.0;SN41480
2016-06-04;8.4;SN41480
2016-06-05;0.0;SN41480
2016-06-06;0.0;SN41480
2016-06-07;0.0;SN41480
2016-06-08;0.0;SN41480
2016-06-09;0.5;SN41480
2016-06-10;0.0;SN41480
2016-06-11;9.2;SN41480
2016-06-12;2.0;SN41480
2016-06-13;1.2;SN41480
2016-06-14;0.0;SN41480
2016-06-15;1.7;SN41480
2016-06-16;13.0;SN41480
2016-06-17;14.0;SN41480
2016-06-18;0.0;SN41480
2016-06-19;0.0;SN41480
2016-06-20;0.0;SN41480
2016-06-21;23.9;SN41480
2016-06-22;0.0;SN41480
2016-06-23;0.0;SN41480
2016-06-24;0.3;SN41480
2016-06-25;6.9;SN41480
2016-06-26;3.6;SN41480
2016-06-27;15.1;SN41480
2016-06-28;0.0;SN41480
2016-06-29;0.1;SN41480
2016-06-30;30.8;SN41480
2016-07-01;1.7;SN41480
2016-07-02;18.6;SN41480
2016-07-03;7.5;SN41480
2016-07-04;0.1;SN41480
2016-07-05;0.0;SN41480
2016-07-06;0.0;SN41480
2016-07-07;0.0;SN41480
2016-07-08;1.5;SN41480
2016-07-09;0.0;SN41480
2016-07-10;0.1;SN41480
2016-07-11;13.4;SN41480
2016-07-12;7.5;SN41480
2016-07-13;0.0;SN41480
2016-07-14;0.2;SN41480
2016-07-15;2.1;SN41480
2016-07-16;0.0;SN41480
2016-07-17;1.1;SN41480
2016-07-18;0.2;SN41480
2016-07-19;0.0;SN41480
2016-07-20;0.0;SN41480
2016-07-21;0.0;SN41480
2016-07-22;0.6;SN41480
2016-07-23;0.0;SN41480
2016-07-24;0.0;SN41480
2016-07-25;11.1;SN41480
2016-07-26;7.6;SN41480
2016-07-27;4.1;SN41480
2016-07-28;30.0;SN41480
2016-07-29;2.3;SN41480
2016-07-30;26.8;SN41480
2016-07-31;0.1;SN41480
2016-08-01;6.5;SN41480
2016-08-02;0.3;SN41480
2016-08-03;0.0;SN41480
2016-08-04;26.0;SN41480
2016-08-05;16.0;SN41480
2016-08-06;0.0;SN41480
2016-08-07;0.0;SN41480
2016-08-08;14.8;SN41480
2016-08-09;6.2;SN41480
2016-08-10;1.0;SN41480
2016-08-11;0.0;SN41480
2016-08-12;1.5;SN41480
2016-08-13;5.0;SN41480
2016-08-14;0.0;SN41480
2016-08-15;0.0;SN41480
2016-08-16;0.0;SN41480
2016-08-17;0.0;SN41480
2016-08-18;0.0;SN41480
2016-08-19;0.0;SN41480
2016-08-20;1.0;SN41480
2016-08-21;14.8;SN41480
2016-08-22;4.9;SN41480
2016-08-23;4.7;SN41480
2016-08-24;0.0;SN41480
2016-08-25;0.2;SN41480
2016-08-26;3.5;SN41480
2016-08-27;6.0;SN41480
2016-08-28;0.0;SN41480
2016-08-29;0.5;SN41480
2016-08-30;0.0;SN41480
2016-08-31;0.0;SN41480
2017-06-01;0.0;SN41480
2017-06-02;1.8;SN41480
2017-06-03;4.8;SN41480
2017-06-04;1.9;SN41480
2017-06-05;0.4;SN41480
2017-06-06;6.2;SN41480
2017-06-07;1.2;SN41480
2017-06-08;26.3;SN41480
2017-06-09;6.8;SN41480
2017-06-10;21.5;SN41480
2017-06-11;3.4;SN41480
2017-06-12;9.4;SN41480
2017-06-13;2.5;SN41480
2017-06-14;0.0;SN41480
2017-06-15;0.1;SN41480
2017-06-16;13.7;SN41480
2017-06-17;0.0;SN41480
2017-06-18;0.0;SN41480
2017-06-19;0.0;SN41480
2017-06-20;0.0;SN41480
2017-06-21;0.0;SN41480
2017-06-22;0.8;SN41480
2017-06-23;0.2;SN41480
2017-06-24;10.6;SN41480
2017-06-25;3.2;SN41480
2017-06-26;11.1;SN41480
2017-06-27;0.0;SN41480
2017-06-28;0.0;SN41480
2017-06-29;3.1;SN41480
2017-06-30;0.6;SN41480
2017-07-01;0.0;SN41480
