# Observert dognnedbor, sygna. Element sum(precipitation_amount P1D), timeOffset PT6H.
# Dognet gaar fra 06 UTC dagen for til 06 UTC paa datoen.
# Primaer SN39150 (Kristiansand - Somskleiva, 12.7 km), reserve SN39040 (Kjevik, 15.0 km).
# Kun kvalitetskode 0-2. Tom mm betyr ingen godkjent maaling.
# Kilde: Meteorologisk institutt (CC BY 4.0).
dato;mm;kilde
2016-06-01;0.0;SN39150
2016-06-02;0.0;SN39150
2016-06-03;0.0;SN39150
2016-06-04;0.0;SN39150
2016-06-05;0.0;SN39150
2016-06-06;0.0;SN39150
2016-06-07;0.0;SN39150
2016-06-08;0.0;SN39150
2016-06-09;0.0;SN39150
2016-06-10;0.0;SN39150
2016-06-11;0.1;SN39150
2016-06-12;0.0;SN39150
2016-06-13;1.4;SN39150
2016-06-14;0.0;SN39150
2016-06-15;3.7;SN39150
2016-06-16;27.1;SN39150
2016-06-17;2.5;SN39150
2016-06-18;0.1;SN39150
2016-06-19;0.0;SN39150
2016-06-20;0.0;SN39150
2016-06-21;38.6;SN39150
2016-06-22;0.0;SN39150
2016-06-23;0.0;SN39150
2016-06-24;21.1;SN39150
2016-06-25;2.8;SN39150
2016-06-26;5.2;SN39150
2016-06-27;3.1;SN39150
2016-06-28;7.3;SN39150
2016-06-29;0.0;SN39150
2016-06-30;9.7;SN39150
2016-07-01;2.8;SN39150
2016-07-02;22.2;SN39150
2016-07-03;6.7;SN39150
2016-07-04;0.0;SN39150
2016-07-05;0.0;SN39150
2016-07-06;0.0;SN39150
2016-07-07;0.0;SN39150
2016-07-08;0.9;SN39150
2016-07-09;0.0;SN39150
2016-07-10;0.9;SN39150
2016-07-11;9.6;SN39150
2016-07-12;4.9;SN39150
2016-07-13;0.0;SN39150
2016-07-14;1.7;SN39150
2016-07-15;3.8;SN39150
2016-07-16;0.3;SN39150
2016-07-17;0.1;SN39150
2016-07-18;0.0;SN39150
2016-07-19;0.0;SN39150
2016-07-20;0.0;SN39150
2016-07-21;0.0;SN39150
2016-07-22;2.4;SN39150
2016-07-23;3.4;SN39150
2016-07-24;0.0;SN39150
2016-07-25;0.0;SN39150
2016-07-26;7.0;SN39150
2016-07-27;3.2;SN39150
2016-07-28;6.1;SN39150
2016-07-29;0.0;SN39150
2016-07-30;8.1;SN39150
2016-07-31;0.0;SN39150
2016-08-01;0.2;SN39150
2016-08-02;0.7;SN39150
2016-08-03;0.0;SN39150
2016-08-04;17.3;SN39150
2016-08-05;3.4;SN39150
2016-08-06;2.6;SN39150
2016-08-07;0.0;SN39150
2016-08-08;14.8;SN39150
2016-08-09;2.2;SN39150
2016-08-10;7.1;SN39150
2016-08-11;0.0;SN39150
2016-08-12;0.0;SN39150
2016-08-13;6.8;SN39150
2016-08-14;1.2;SN39150
2016-08-15;0.0;SN39150
2016-08-16;0.0;SN39150
2016-08-17;0.0;SN39150
2016-08-18;0.0;SN39150
2016-08-19;0.0;SN39150
2016-08-20;0.0;SN39150
2016-08-21;7.1;SN39150
2016-08-22;6.3;SN39150
2016-08-23;0.6;SN39150
2016-08-24;0.0;SN39150
2016-08-25;0.0;SN39150
2016-08-26;16.2;SN39150
2016-08-27;0.2;SN39150
2016-08-28;2.0;SN39150
2016-08-29;4.1;SN39150
2016-08-30;0.0;SN39150
2016-08-31;0.0;SN39150
2017-06-01;0.0;SN39150
2017-06-02;0.2;SN39150
2017-06-03;2.5;SN39150
2017-06-04;0.0;SN39150
2017-06-05;0.0;SN39150
2017-06-06;0.2;SN39150
2017-06-07;12.5;SN39150
2017-06-08;11.5;SN39150
2017-06-09;;
2017-06-10;;
2017-06-11;1.3;SN39150
2017-06-12;6.6;SN39150
2017-06-13;2.2;SN39150
2017-06-14;0.0;SN39150
2017-06-15;0.0;SN39150
2017-06-16;5.2;SN39150
2017-06-17;0.0;SN39150
2017-06-18;0.0;SN39150
2017-06-19;0.0;SN39150
2017-06-20;0.0;SN39150
2017-06-21;0.0;SN39150
2017-06-22;0.2;SN39150
2017-06-23;1.5;SN39150
2017-06-24;3.2;SN39150
2017-06-25;1.1;SN39150
2017-06-26;0.9;SN39150
2017-06-27;0.0;SN39150
2017-06-28;0.0;SN39150
2017-06-29;1.1;SN39150
2017-06-30;2.2;SN39150
2017-07-01;0.0;SN39150
2017-07-02;0.0;SN39150
2017-07-03;0.0;SN39150
2017-07-04;0.0;SN39150
2017-07-05;0.0;SN39150
2017-07-06;0.0;SN39150
2017-07-07;0.0;SN39150
2017-07-08;4.7;SN39150
2017-07-09;0.0;SN39150
2017-07-10;0.0;SN39150
2017-07-11;5.1;SN39150
2017-07-12;0.1;SN39150
2017-07-13;0.0;SN39150
2017-07-14;0.0;SN39150
2017-07-15;0.0;SN39150
2017-07-16;10.4;SN39150
2017-07-17;0.1;SN39150
2017-07-18;0.0;SN39150
2017-07-19;0.0;SN39150
