# Dognverdier for vannforing, audna. Stasjon 23.8.0 (Gaupefossen), parameter 1001.
# Aggregert fra timesverdier. Dognet gaar fra 06 UTC dagen for
# til 06 UTC paa datoen - samme vindu som nedborfilene (PT6H).
# timer = antall timesverdier bak dognet, maks 24.
# Kilde: NVE HydAPI.
dato;vf_snitt;vf_min;vf_maks;timer
2016-05-01;14.389;11.450;16.186;24
2016-05-02;13.932;13.012;15.251;24
2016-05-03;15.729;12.835;25.749;24
2016-05-04;26.066;20.502;31.840;24
2016-05-05;18.369;17.015;20.245;24
2016-05-06;16.100;15.354;16.941;24
2016-05-07;14.721;14.164;15.313;24
2016-05-08;13.611;13.082;14.108;24
2016-05-09;12.621;12.180;13.055;24
2016-05-10;11.785;11.416;12.146;24
2016-05-11;11.102;10.795;11.390;24
2016-05-12;10.516;10.211;10.795;24
2016-05-13;10.001;9.784;10.182;24
2016-05-14;9.580;9.423;9.777;24
2016-05-15;8.452;7.883;9.412;24
2016-05-16;7.785;7.646;7.880;24
2016-05-17;7.624;7.438;8.119;24
2016-05-18;7.594;7.331;8.119;24
2016-05-19;7.188;7.052;7.308;24
2016-05-20;7.232;7.033;7.308;24
2016-05-21;7.372;7.209;7.480;24
2016-05-22;8.258;7.257;9.752;24
2016-05-23;13.633;9.862;17.127;24
2016-05-24;12.709;11.424;14.661;24
2016-05-25;11.362;11.009;11.533;24
2016-05-26;10.977;10.765;11.162;24
2016-05-27;10.114;9.894;10.729;24
2016-05-28;9.191;7.764;9.894;24
2016-05-29;6.456;5.751;8.558;24
2016-05-30;6.230;5.515;7.490;24
2016-05-31;6.875;5.873;9.263;24
2016-06-01;6.160;5.730;6.705;24
2016-06-02;5.499;5.257;5.721;24
2016-06-03;4.945;4.607;5.306;24
2016-06-04;4.529;4.233;5.426;24
2016-06-05;4.056;3.857;4.225;24
2016-06-06;3.705;3.533;3.857;24
2016-06-07;4.837;3.528;5.225;24
2016-06-08;5.062;4.910;5.165;24
2016-06-09;5.120;5.006;5.222;24
2016-06-10;3.598;2.686;5.065;24
2016-06-11;3.489;2.457;4.615;24
2016-06-12;2.388;2.327;2.464;24
2016-06-13;2.258;2.190;2.314;24
2016-06-14;3.904;2.177;4.289;24
2016-06-15;3.834;3.779;3.961;24
2016-06-16;4.091;3.795;4.519;24
2016-06-17;5.239;4.601;5.606;24
2016-06-18;5.177;3.566;6.211;24
2016-06-19;4.097;2.766;4.684;24
2016-06-20;3.921;3.821;4.013;24
2016-06-21;6.756;3.844;8.763;24
2016-06-22;7.373;6.887;8.056;24
2016-06-23;6.647;6.062;6.973;24
2016-06-24;6.485;6.053;7.283;24
2016-06-25;6.668;6.493;6.771;24
2016-06-26;5.807;5.332;6.419;24
2016-06-27;9.157;6.182;10.059;24
2016-06-28;9.188;8.773;9.352;24
2016-06-29;8.224;7.692;8.739;24
2016-06-30;9.372;7.633;13.150;24
2016-07-01;21.623;15.515;26.240;24
2016-07-02;21.373;16.714;25.548;24
2016-07-03;21.133;19.545;21.939;24
2016-07-04;17.788;16.232;19.491;24
2016-07-05;15.493;14.887;16.160;24
2016-07-06;14.187;13.658;14.788;24
2016-07-07;12.363;11.080;13.550;24
2016-07-08;10.454;9.973;10.950;24
2016-07-09;9.240;7.516;9.905;24
2016-07-10;7.041;6.680;7.467;24
2016-07-11;6.693;6.549;7.030;24
2016-07-12;7.555;7.129;7.857;24
2016-07-13;8.241;6.671;9.146;24
2016-07-14;6.269;5.960;6.627;24
2016-07-15;10.448;6.108;14.727;24
2016-07-16;7.516;6.646;8.797;24
2016-07-17;7.150;5.795;8.139;24
2016-07-18;5.484;5.191;5.772;24
2016-07-19;7.068;5.274;8.364;24
2016-07-20;7.022;6.853;7.151;24
2016-07-21;6.753;5.769;7.075;24
2016-07-22;5.553;5.396;5.751;24
2016-07-23;5.006;3.573;5.393;24
2016-07-24;3.332;3.159;3.518;24
2016-07-25;3.072;2.951;3.232;24
2016-07-26;3.750;3.295;3.935;24
2016-07-27;4.841;3.672;6.255;24
2016-07-28;5.883;3.601;9.891;24
2016-07-29;7.059;5.891;9.077;24
2016-07-30;9.738;5.816;13.166;24
2016-07-31;9.046;7.880;11.010;24
2016-08-01;8.658;6.951;9.574;24
2016-08-02;6.716;6.429;6.928;24
2016-08-03;8.028;7.508;8.240;24
2016-08-04;12.241;7.755;22.734;24
2016-08-05;30.598;22.269;36.804;24
2016-08-06;26.265;21.098;34.405;24
2016-08-07;18.190;14.736;20.894;24
2016-08-08;16.548;15.553;18.145;24
2016-08-09;28.030;20.055;32.829;24
2016-08-10;20.663;18.192;23.916;24
2016-08-11;16.586;15.130;18.025;24
2016-08-12;14.951;14.306;15.722;24
2016-08-13;14.229;13.327;14.551;24
2016-08-14;12.219;9.930;13.272;24
2016-08-15;10.684;10.186;11.371;24
2016-08-16;10.151;9.848;10.465;24
2016-08-17;10.043;7.903;10.677;24
2016-08-18;9.850;9.356;10.414;24
2016-08-19;9.208;8.969;9.384;24
2016-08-20;8.577;8.039;8.962;24
2016-08-21;8.209;7.943;8.497;24
2016-08-22;8.922;8.056;11.140;24
2016-08-23;11.537;11.143;11.836;24
2016-08-24;11.233;10.575;11.624;24
2016-08-25;10.711;10.005;11.106;24
2016-08-26;10.234;9.909;10.483;24
2016-08-27;10.506;9.610;12.031;24
2016-08-28;9.498;9.219;9.773;24
2016-08-29;8.831;8.257;9.181;24
2016-08-30;9.301;8.083;10.182;24
2016-08-31;9.590;9.440;9.716;24
2017-05-01;7.773;7.506;7.969;24
2017-05-02;7.557;6.998;7.946;24
2017-05-03;7.333;6.646;7.656;24
2017-05-04;6.676;6.126;7.097;24
2017-05-05;6.123;5.843;6.269;24
2017-05-06;6.028;5.635;6.518;24
2017-05-07;5.812;5.538;5.909;24
2017-05-08;5.383;5.277;5.495;24
2017-05-09;5.552;4.941;5.963;24
2017-05-10;5.023;4.781;5.277;24
2017-05-11;5.415;4.767;5.816;24
2017-05-12;5.691;5.428;5.957;24
2017-05-13;5.445;4.876;5.867;24
2017-05-14;5.330;4.921;5.942;24
2017-05-15;6.700;6.138;7.170;24
2017-05-16;6.148;5.778;6.422;24
2017-05-17;9.413;6.053;13.098;24
2017-05-18;13.049;11.368;19.599;24
2017-05-19;27.524;23.136;32.393;24
2017-05-20;19.980;16.025;22.877;24
2017-05-21;15.523;14.990;15.924;24
2017-05-22;14.475;13.778;14.944;24
2017-05-23;14.445;13.626;15.039;24
2017-05-24;13.041;12.485;13.586;24
2017-05-25;12.122;11.510;12.671;24
2017-05-26;10.658;9.727;11.450;24
2017-05-27;9.385;8.828;9.698;24
2017-05-28;8.955;8.307;9.409;24
2017-05-29;8.042;7.781;8.287;24
2017-05-30;7.802;7.614;8.039;24
2017-05-31;7.049;5.338;7.692;24
2017-06-01;6.743;5.492;7.441;24
2017-06-02;6.264;4.563;6.941;24
2017-06-03;4.518;4.451;4.541;24
2017-06-04;4.330;4.214;4.448;24
2017-06-05;4.311;3.943;5.559;24
2017-06-06;4.895;3.659;6.235;24
2017-06-07;5.125;3.715;6.090;24
2017-06-08;7.526;6.254;10.327;24
2017-06-09;9.260;8.636;10.054;24
2017-06-10;11.028;9.021;12.961;24
2017-06-11;10.221;8.966;11.924;24
2017-06-12;9.085;8.530;9.955;24
2017-06-13;11.043;9.980;11.828;24
2017-06-14;9.710;7.672;10.520;24
2017-06-15;7.196;6.846;7.620;24
2017-06-16;6.965;6.453;8.839;24
2017-06-17;9.838;7.702;11.117;24
2017-06-18;7.128;6.671;7.643;24
2017-06-19;6.314;6.011;6.627;24
2017-06-20;6.230;5.509;7.725;24
2017-06-21;5.222;4.980;5.486;24
2017-06-22;5.956;4.544;6.944;24
2017-06-23;4.459;4.348;4.555;24
2017-06-24;4.340;4.238;4.386;24
2017-06-25;4.093;3.987;4.235;24
2017-06-26;4.576;4.024;6.355;24
2017-06-27;5.332;4.126;6.689;24
2017-06-28;3.904;3.731;4.092;24
2017-06-29;3.627;3.541;3.728;24
2017-06-30;3.718;3.376;5.026;24
2017-07-01;3.727;3.022;5.045;24
2017-07-02;2.885;2.760;3.020;24
2017-07-03;2.668;2.578;2.760;24
2017-07-04;2.532;2.468;2.607;24
2017-07-05;2.374;2.278;2.453;24
2017-07-06;2.179;2.088;2.263;24
2017-07-07;3.329;2.007;4.201;24
2017-07-08;1.962;1.917;2.022;24
2017-07-09;1.867;1.796;1.921;24
2017-07-10;1.732;1.686;1.796;24
2017-07-11;1.768;1.686;1.895;24
2017-07-12;2.142;1.893;3.703;24
2017-07-13;2.516;1.779;3.728;24
2017-07-14;1.660;1.607;1.753;24
2017-07-15;1.543;1.503;1.594;24
2017-07-16;1.511;1.447;1.735;24
2017-07-17;1.735;1.628;1.842;24
2017-07-18;1.542;1.473;1.638;24
2017-07-19;1.434;1.400;1.473;24
2017-07-20;2.526;1.369;3.746;24
2017-07-21;1.392;1.286;1.706;24
2017-07-22;2.116;1.763;2.508;24
2017-07-23;3.478;2.655;3.834;24
2017-07-24;2.962;2.725;3.374;24
2017-07-25;3.632;2.365;4.748;24
2017-07-26;2.185;2.057;2.347;24
2017-07-27;1.939;1.846;2.040;24
2017-07-28;4.471;1.897;6.083;24
2017-07-29;4.441;3.135;5.754;24
2017-07-30;3.496;3.065;4.087;24
2017-07-31;5.410;3.870;7.552;24
2017-08-01;8.727;5.748;10.795;24
2017-08-02;11.727;7.597;18.997;24
2017-08-03;17.607;14.623;19.608;24
2017-08-04;31.825;13.308;48.894;24
2017-08-05;54.980;33.889;76.237;24
2017-08-06;34.969;28.134;44.999;24
2017-08-07;23.796;19.862;27.735;24
2017-08-08;28.167;19.500;33.187;24
2017-08-09;25.747;23.313;29.910;24
2017-08-10;25.235;23.727;26.681;24
2017-08-11;21.863;19.830;24.451;24
2017-08-12;18.249;17.179;19.676;24
2017-08-13;16.058;14.363;17.110;24
2017-08-14;13.333;12.481;14.266;24
2017-08-15;12.512;11.775;13.754;24
2017-08-16;13.888;11.586;16.581;24
2017-08-17;14.297;12.734;15.882;24
2017-08-18;16.191;12.929;21.428;24
2017-08-19;18.162;16.993;20.109;24
2017-08-20;22.147;17.853;25.280;24
2017-08-21;22.080;19.703;23.370;24
2017-08-22;17.275;15.313;19.482;24
2017-08-23;14.786;13.914;15.313;24
2017-08-24;14.230;13.838;14.854;24
2017-08-25;14.335;13.794;15.296;24
2017-08-26;14.780;13.494;15.777;24
2017-08-27;12.938;12.601;13.371;24
2017-08-28;12.189;11.537;12.695;24
2017-08-29;11.039;10.385;11.722;24
2017-08-30;11.314;10.958;11.563;24
2017-08-31;10.791;10.269;11.270;24
2018-05-01;25.518;22.090;32.092;24
2018-05-02;28.779;25.463;32.264;24
2018-05-03;23.837;22.867;25.241;24
2018-05-04;27.270;24.636;29.669;24
2018-05-05;22.956;21.653;24.456;24
2018-05-06;20.486;19.486;21.540;24
2018-05-07;18.461;17.600;19.405;24
2018-05-08;16.759;16.025;17.530;24
2018-05-09;14.965;13.012;15.983;24
2018-05-10;13.318;11.006;14.445;24
2018-05-11;12.211;10.773;13.987;24
2018-05-12;12.275;11.386;13.399;24
2018-05-13;10.797;10.269;11.330;24
2018-05-14;9.930;9.363;10.755;24
2018-05-15;9.867;8.694;10.432;24
2018-05-16;9.327;8.753;9.603;24
2018-05-17;8.633;7.470;9.052;24
2018-05-18;7.867;6.900;8.412;24
2018-05-19;7.223;5.958;7.926;24
2018-05-20;6.242;6.032;6.429;24
2018-05-21;5.856;5.683;6.014;24
2018-05-22;5.553;5.416;5.694;24
2018-05-23;5.549;5.165;6.129;24
2018-05-24;6.123;5.203;6.671;24
2018-05-25;6.237;4.739;6.818;24
2018-05-26;5.635;4.541;6.177;24
2018-05-27;4.876;4.386;5.068;24
2018-05-28;4.980;4.249;5.393;24
2018-05-29;5.945;4.362;6.897;24
2018-05-30;5.363;3.911;5.766;24
2018-05-31;5.086;3.576;5.509;24
2018-06-01;5.656;4.885;6.074;24
2018-06-02;5.290;4.386;5.915;24
2018-06-03;4.091;3.032;4.654;24
2018-06-04;3.576;2.123;5.017;24
2018-06-05;4.413;4.167;4.511;24
2018-06-06;3.918;3.733;4.209;24
2018-06-07;4.062;2.893;4.294;24
2018-06-08;4.325;4.182;4.399;24
2018-06-09;5.406;4.357;5.547;24
2018-06-10;5.509;5.486;5.547;24
2018-06-11;5.006;2.819;5.530;24
2018-06-12;5.063;4.525;5.188;24
2018-06-13;3.287;3.137;4.245;24
2018-06-14;3.115;3.044;3.188;24
2018-06-15;3.937;3.058;4.408;24
2018-06-16;4.792;3.616;5.274;24
2018-06-17;3.548;3.493;3.632;24
2018-06-18;3.791;3.667;3.857;24
2018-06-19;4.139;3.795;4.701;24
2018-06-20;3.988;3.698;4.640;24
2018-06-21;5.378;3.713;6.266;24
2018-06-22;5.620;4.566;6.290;24
2018-06-23;4.621;4.105;5.134;24
2018-06-24;3.910;3.813;4.084;24
2018-06-25;3.720;3.654;3.797;24
2018-06-26;4.106;3.571;4.703;24
2018-06-27;5.378;3.558;5.742;24
2018-06-28;4.599;3.513;5.677;24
2018-06-29;4.182;3.352;4.604;24
2018-06-30;3.250;3.176;3.344;24
2018-07-01;3.164;3.115;3.212;24
2018-07-02;3.074;3.003;3.118;24
2018-07-03;3.607;3.008;4.316;24
2018-07-04;3.231;3.181;3.268;24
2018-07-05;3.587;3.176;4.281;24
2018-07-06;3.574;2.911;3.919;24
2018-07-07;2.681;1.432;2.892;24
2018-07-08;2.100;0.839;3.307;24
2018-07-09;1.220;0.738;3.305;24
2018-07-10;1.355;0.782;2.680;24
2018-07-11;1.696;0.791;3.413;24
2018-07-12;0.966;0.777;2.881;24
2018-07-13;1.385;0.786;3.128;24
2018-07-14;1.107;0.780;2.506;24
2018-07-15;0.784;0.774;0.804;24
2018-07-16;0.959;0.774;2.975;24
2018-07-17;1.257;0.755;3.157;24
2018-07-18;1.129;0.774;2.319;24
2018-07-19;1.186;0.774;2.321;24
2018-07-20;1.060;0.772;2.369;24
2018-07-21;0.775;0.774;0.785;24
2018-07-22;0.829;0.774;1.737;24
2018-07-23;1.085;0.774;2.179;24
2018-07-24;1.034;0.774;2.267;24
2018-07-25;0.821;0.764;1.673;24
2018-07-26;1.018;0.774;2.152;24
2018-07-27;0.806;0.754;1.514;24
2018-07-28;0.996;0.766;2.064;24
2018-07-29;1.329;0.764;5.341;24
2018-07-30;2.357;1.334;5.326;24
2018-07-31;1.607;1.120;2.980;24
2018-08-01;1.934;1.120;3.844;24
2018-08-02;3.472;2.228;5.589;24
2018-08-03;2.205;1.814;4.087;24
2018-08-04;2.277;1.531;4.171;24
2018-08-05;1.657;1.372;3.645;24
