# Dognverdier for vannforing, lygna. Stasjon 24.9.0 (Tingvatn (Lygne)), parameter 1001.
# Aggregert fra timesverdier. Dognet gaar fra 06 UTC dagen for
# til 06 UTC paa datoen - samme vindu som nedborfilene (PT6H).
# timer = antall timesverdier bak dognet, maks 24.
# Kilde: NVE HydAPI.
dato;vf_snitt;vf_min;vf_maks;timer
2016-05-01;8.667;7.770;9.555;24
2016-05-02;10.108;9.619;10.611;24
2016-05-03;12.071;10.684;15.471;24
2016-05-04;23.366;16.189;28.330;24
2016-05-05;29.797;28.503;30.232;24
2016-05-06;28.648;27.185;29.968;24
2016-05-07;25.842;24.746;27.113;24
2016-05-08;24.259;23.974;24.648;24
2016-05-09;26.222;24.625;28.084;24
2016-05-10;29.643;28.280;30.429;24
2016-05-11;30.077;29.150;30.498;24
2016-05-12;27.934;26.850;29.025;24
2016-05-13;25.976;24.944;26.747;24
2016-05-14;23.318;21.611;24.822;24
2016-05-15;19.703;17.784;21.403;24
2016-05-16;16.172;14.672;17.660;24
2016-05-17;13.170;11.963;14.540;24
2016-05-18;11.029;10.216;11.865;24
2016-05-19;9.544;9.018;10.145;24
2016-05-20;8.548;8.167;8.981;24
2016-05-21;8.140;8.013;8.245;24
2016-05-22;8.659;8.071;9.555;24
2016-05-23;13.026;9.653;18.380;24
2016-05-24;23.176;18.884;25.680;24
2016-05-25;25.026;23.516;25.797;24
2016-05-26;21.264;19.031;23.479;24
2016-05-27;17.063;15.338;18.870;24
2016-05-28;13.598;12.174;15.169;24
2016-05-29;11.172;10.251;12.085;24
2016-05-30;9.411;8.664;10.180;24
2016-05-31;8.420;8.167;8.790;24
2016-06-01;8.086;7.910;8.288;24
2016-06-02;7.904;7.823;7.994;24
2016-06-03;7.672;7.520;7.834;24
2016-06-04;7.228;6.868;7.520;24
2016-06-05;6.376;5.957;6.809;24
2016-06-06;5.479;5.112;5.928;24
2016-06-07;4.729;4.396;5.108;24
2016-06-08;4.038;3.841;4.349;24
2016-06-09;3.517;3.323;3.890;24
2016-06-10;3.116;2.865;3.301;24
2016-06-11;2.591;2.450;2.842;24
2016-06-12;2.406;2.311;2.502;24
2016-06-13;2.214;2.128;2.308;24
2016-06-14;2.009;1.927;2.126;24
2016-06-15;1.818;1.769;1.924;24
2016-06-16;1.736;1.673;1.817;24
2016-06-17;1.786;1.763;1.819;24
2016-06-18;1.844;1.739;1.907;24
2016-06-19;1.827;1.785;1.877;24
2016-06-20;1.710;1.601;1.817;24
2016-06-21;1.898;1.601;2.144;24
2016-06-22;2.423;2.177;2.704;24
2016-06-23;2.947;2.713;3.233;24
2016-06-24;3.409;3.244;3.593;24
2016-06-25;3.707;3.564;3.813;24
2016-06-26;3.822;3.789;3.878;24
2016-06-27;4.664;4.085;5.567;24
