# Dognverdier for vannforing, sygna. Stasjon 22.22.0 (Sogne), parameter 1001.
# Aggregert fra timesverdier. Dognet gaar fra 06 UTC dagen for
# til 06 UTC paa datoen - samme vindu som nedborfilene (PT6H).
# timer = antall timesverdier bak dognet, maks 24.
# Kilde: NVE HydAPI.
dato;vf_snitt;vf_min;vf_maks;timer
2016-05-01;10.297;4.702;16.917;24
2016-05-02;11.994;8.538;16.439;24
2016-05-03;7.856;7.206;8.936;24
2016-05-04;11.793;9.173;13.282;24
2016-05-05;8.726;7.193;10.880;24
2016-05-06;6.278;5.589;7.092;24
2016-05-07;5.049;4.607;5.537;24
2016-05-08;4.244;3.929;4.573;24
2016-05-09;3.645;3.431;3.906;24
2016-05-10;3.271;3.039;3.452;24
2016-05-11;2.838;2.675;3.019;24
2016-05-12;2.512;2.367;2.648;24
2016-05-13;2.257;2.157;2.359;24
2016-05-14;2.135;2.114;2.190;24
2016-05-15;2.219;2.176;2.248;24
2016-05-16;2.056;1.952;2.165;24
2016-05-17;1.848;1.758;1.944;24
2016-05-18;1.673;1.597;1.747;24
2016-05-19;1.540;1.493;1.590;24
2016-05-20;1.445;1.393;1.488;24
2016-05-21;1.451;1.392;1.476;24
2016-05-22;1.878;1.421;2.523;24
2016-05-23;6.729;2.588;14.263;24
2016-05-24;10.889;7.479;14.590;24
2016-05-25;6.030;5.034;7.337;24
2016-05-26;4.368;3.847;4.965;24
2016-05-27;3.465;3.146;3.816;24
2016-05-28;2.895;2.686;3.125;24
2016-05-29;2.501;2.336;2.676;24
2016-05-30;2.205;2.114;2.323;24
2016-05-31;3.005;2.167;4.745;24
2016-06-01;5.157;4.355;5.698;24
2016-06-02;3.672;3.180;4.287;24
2016-06-03;2.828;2.551;3.151;24
2016-06-04;2.335;2.142;2.534;24
2016-06-05;1.972;1.828;2.128;24
2016-06-06;1.711;1.603;1.821;24
2016-06-07;1.535;1.465;1.601;24
2016-06-08;1.417;1.380;1.459;24
2016-06-09;1.293;1.228;1.379;24
2016-06-10;1.168;1.127;1.224;24
2016-06-11;1.076;1.039;1.122;24
2016-06-12;1.060;1.034;1.085;24
2016-06-13;1.035;0.999;1.081;24
2016-06-14;0.961;0.923;0.996;24
2016-06-15;0.899;0.878;0.922;24
2016-06-16;0.916;0.886;1.079;24
2016-06-17;1.530;1.098;2.234;24
2016-06-18;2.140;1.900;2.825;24
2016-06-19;2.519;2.018;3.008;24
2016-06-20;1.749;1.557;1.990;24
2016-06-21;6.431;1.534;13.671;24
2016-06-22;9.281;6.031;13.540;24
2016-06-23;4.745;3.959;5.874;24
2016-06-24;3.780;3.595;3.909;24
2016-06-25;4.028;3.791;4.425;24
2016-06-26;4.014;3.623;4.424;24
2016-06-27;5.857;3.703;8.562;24
2016-06-28;7.426;7.061;8.378;24
2016-06-29;6.541;5.454;7.307;24
2016-06-30;5.211;4.860;6.678;24
2016-07-01;15.681;7.122;20.061;24
2016-07-02;17.288;14.362;21.163;24
2016-07-03;19.447;17.698;21.045;24
2016-07-04;13.902;10.748;17.351;24
2016-07-05;8.740;7.271;10.539;24
2016-07-06;6.262;5.506;7.169;24
2016-07-07;4.897;4.364;5.455;24
2016-07-08;3.980;3.698;4.329;24
2016-07-09;3.447;3.197;3.684;24
2016-07-10;2.932;2.718;3.173;24
2016-07-11;2.725;2.672;2.816;24
2016-07-12;3.105;2.647;3.936;24
2016-07-13;3.676;3.252;3.985;24
2016-07-14;2.896;2.654;3.216;24
2016-07-15;2.894;2.610;3.132;24
2016-07-16;2.610;2.396;2.842;24
2016-07-17;2.208;2.032;2.382;24
2016-07-18;1.906;1.784;2.025;24
2016-07-19;1.691;1.597;1.777;24
2016-07-20;1.524;1.449;1.590;24
2016-07-21;1.387;1.321;1.443;24
2016-07-22;1.295;1.239;1.328;24
2016-07-23;1.294;1.230;1.482;24
2016-07-24;1.374;1.310;1.431;24
2016-07-25;1.230;1.151;1.304;24
2016-07-26;1.158;1.132;1.179;24
2016-07-27;1.314;1.181;1.454;24
2016-07-28;1.756;1.487;2.157;24
