# Dognverdier for vannforing, tovdalselva. Stasjon 20.3.0 (Flakksvann), parameter 1001.
# Aggregert fra timesverdier. Dognet gaar fra 06 UTC dagen for
# til 06 UTC paa datoen - samme vindu som nedborfilene (PT6H).
# timer = antall timesverdier bak dognet, maks 24.
# Kilde: NVE HydAPI.
dato;vf_snitt;vf_min;vf_maks;timer
2016-05-01;44.167;40.689;50.802;24
2016-05-02;39.739;39.439;40.493;24
2016-05-03;50.584;39.826;65.695;24
2016-05-04;75.358;66.884;77.769;24
2016-05-05;77.765;77.227;78.948;24
2016-05-06;79.606;77.724;80.273;24
2016-05-07;73.175;67.936;77.048;24
2016-05-08;56.199;50.418;66.591;24
2016-05-09;48.107;47.212;49.964;24
2016-05-10;55.973;48.008;63.267;24
2016-05-11;65.835;61.788;69.293;24
2016-05-12;66.584;62.941;68.062;24
2016-05-13;57.927;56.584;61.929;24
2016-05-14;62.628;55.969;68.485;24
2016-05-15;51.313;43.924;63.676;24
2016-05-16;40.870;38.606;43.585;24
2016-05-17;36.410;34.287;38.431;24
2016-05-18;36.924;33.778;40.804;24
2016-05-19;41.353;40.869;41.643;24
2016-05-20;39.691;39.118;41.132;24
2016-05-21;38.046;37.341;38.989;24
2016-05-22;35.880;35.362;37.154;24
2016-05-23;33.007;30.125;37.325;24
2016-05-24;52.761;37.813;67.450;24
2016-05-25;72.614;67.935;75.060;24
2016-05-26;72.106;67.936;74.263;24
2016-05-27;57.806;54.843;66.612;24
2016-05-28;55.114;52.738;57.086;24
2016-05-29;46.489;40.265;54.730;24
2016-05-30;31.397;25.863;39.488;24
2016-05-31;39.439;25.163;64.187;24
2016-06-01;72.011;65.487;75.415;24
2016-06-02;76.311;75.638;76.733;24
2016-06-03;72.628;69.208;75.615;24
2016-06-04;64.985;61.426;68.910;24
2016-06-05;58.639;56.257;61.205;24
2016-06-06;54.159;51.774;56.045;24
2016-06-07;41.517;35.362;50.838;24
2016-06-08;29.204;25.254;34.860;24
2016-06-09;21.744;17.724;25.061;24
2016-06-10;16.832;15.556;19.588;24
2016-06-11;21.893;19.930;23.368;24
2016-06-12;23.793;23.505;23.943;24
2016-06-13;21.645;20.846;23.542;24
2016-06-14;22.066;21.484;22.325;24
2016-06-15;21.078;20.612;22.228;24
2016-06-16;20.672;20.310;21.460;24
2016-06-17;23.701;21.639;26.627;24
2016-06-18;27.648;26.786;27.981;24
2016-06-19;27.110;26.415;27.778;24
2016-06-20;20.195;14.835;26.165;24
2016-06-21;18.157;13.976;25.942;24
2016-06-22;29.269;26.481;30.266;24
2016-06-23;31.031;30.322;31.622;24
2016-06-24;31.432;31.061;31.593;24
2016-06-25;30.837;30.351;31.348;24
2016-06-26;29.822;29.341;30.308;24
2016-06-27;29.530;29.369;29.676;24
2016-06-28;30.697;29.648;32.187;24
2016-06-29;32.133;31.391;32.963;24
2016-06-30;34.195;32.610;35.331;24
2016-07-01;37.788;35.576;38.797;24
2016-07-02;44.421;38.383;50.037;24
2016-07-03;54.818;50.364;57.280;24
2016-07-04;58.161;57.377;58.626;24
2016-07-05;58.884;56.835;63.246;24
2016-07-06;63.889;61.265;64.846;24
2016-07-07;48.761;40.886;60.227;24
2016-07-08;41.409;39.053;43.992;24
2016-07-09;37.144;32.786;42.642;24
2016-07-10;25.114;19.158;32.303;24
2016-07-11;16.181;14.092;18.833;24
2016-07-12;15.449;13.443;19.999;24
2016-07-13;29.731;20.507;38.574;24
2016-07-14;38.809;36.299;41.975;24
2016-07-15;36.948;34.287;41.116;24
2016-07-16;32.608;32.129;34.032;24
2016-07-17;26.273;21.747;31.795;24
2016-07-18;19.503;17.898;21.508;24
2016-07-19;19.106;17.283;23.195;24
2016-07-20;26.017;23.592;27.012;24
2016-07-21;26.635;26.165;27.012;24
2016-07-22;25.695;25.215;26.152;24
2016-07-23;24.736;24.422;25.177;24
2016-07-24;24.756;24.410;24.843;24
2016-07-25;21.336;20.206;24.157;24
