Dato,Vannføring
2016-05-01 11:00:00Z,97
2016-05-02 11:00:00Z,98
2016-05-03 11:00:00Z,119
2016-05-04 11:00:00Z,125
2016-05-05 11:00:00Z,115
2016-05-06 11:00:00Z,97
2016-05-07 11:00:00Z,81
2016-05-08 11:00:00Z,90
2016-05-09 11:00:00Z,98
2016-05-10 11:00:00Z,102
2016-05-11 11:00:00Z,93
2016-05-12 11:00:00Z,83
2016-05-13 11:00:00Z,85
2016-05-14 11:00:00Z,84
2016-05-15 11:00:00Z,81
2016-05-16 11:00:00Z,78
2016-05-17 11:00:00Z,72
2016-05-18 11:00:00Z,59
2016-05-19 11:00:00Z,65
2016-05-20 11:00:00Z,68
2016-05-21 11:00:00Z,74
2016-05-22 11:00:00Z,89
2016-05-23 11:00:00Z,99
2016-05-24 11:00:00Z,116
2016-05-25 11:00:00Z,138
2016-05-26 11:00:00Z,113
2016-05-27 11:00:00Z,93
2016-05-28 11:00:00Z,84
2016-05-29 11:00:00Z,86
2016-05-30 11:00:00Z,74
2016-05-31 11:00:00Z,78
2016-06-01 11:00:00Z,68
2016-06-02 11:00:00Z,70
2016-06-03 11:00:00Z,71
2016-06-04 11:00:00Z,64
2016-06-05 11:00:00Z,66
2016-06-06 11:00:00Z,61
2016-06-07 11:00:00Z,59
2016-06-08 11:00:00Z,63
2016-06-09 11:00:00Z,58
2016-06-10 11:00:00Z,50
2016-06-11 11:00:00Z,37
2016-06-12 11:00:00Z,37
2016-06-13 11:00:00Z,36
2016-06-14 11:00:00Z,37
2016-06-15 11:00:00Z,41
2016-06-16 11:00:00Z,57
2016-06-17 11:00:00Z,57
2016-06-18 11:00:00Z,42
2016-06-19 11:00:00Z,43
2016-06-20 11:00:00Z,56
2016-06-21 11:00:00Z,75
2016-06-22 11:00:00Z,75
2016-06-23 11:00:00Z,67
2016-06-24 11:00:00Z,68
2016-06-25 11:00:00Z,57
2016-06-26 11:00:00Z,69
2016-06-27 11:00:00Z,65
2016-06-28 11:00:00Z,68
2016-06-29 11:00:00Z,86
2016-06-30 11:00:00Z,94
