Dato,Vannføring
2016-01-01 11:00:00Z,242.5022
2016-01-02 11:00:00Z,236.1731
2016-01-03 11:00:00Z,231.7947
2016-01-04 11:00:00Z,227.8996
2016-01-05 11:00:00Z,226.3537
2016-01-06 11:00:00Z,207.9345
2016-01-07 11:00:00Z,203.0007
2016-01-08 11:00:00Z,198.2428
2016-01-09 11:00:00Z,193.3507
2016-01-10 11:00:00Z,193.8456
2016-01-11 11:00:00Z,194.5072
2016-01-12 11:00:00Z,193.5972
2016-01-13 11:00:00Z,192.3532
2016-01-14 11:00:00Z,190.9339
2016-01-15 11:00:00Z,191.0438
2016-01-16 11:00:00Z,190.5815
2016-01-17 11:00:00Z,191.5371
2016-01-18 11:00:00Z,192.1397
2016-01-19 11:00:00Z,195.4649
2016-01-20 11:00:00Z,195.1447
2016-01-21 11:00:00Z,194.5755
2016-01-22 11:00:00Z,194.5791
2016-01-23 11:00:00Z,195.4545
2016-01-24 11:00:00Z,195.5165
2016-01-25 11:00:00Z,197.1853
2016-01-26 11:00:00Z,201.6013
2016-01-27 11:00:00Z,238.8479
2016-01-28 11:00:00Z,241.3456
2016-01-29 11:00:00Z,236.4167
2016-01-30 11:00:00Z,265.9633
2016-01-31 11:00:00Z,214.9348
2016-02-01 11:00:00Z,210.4894
2016-02-02 11:00:00Z,226.5327
2016-02-03 11:00:00Z,223.4322
2016-02-04 11:00:00Z,210.1452
2016-02-05 11:00:00Z,203.4625
2016-02-06 11:00:00Z,208.635
2016-02-07 11:00:00Z,256.1566
2016-02-08 11:00:00Z,310.9622
2016-02-09 11:00:00Z,291.511
2016-02-10 11:00:00Z,158.3342
2016-02-11 11:00:00Z,212.2048
2016-02-12 11:00:00Z,202.8501
2016-02-13 11:00:00Z,199.5479
2016-02-14 11:00:00Z,196.5034
2016-02-15 11:00:00Z,196.4663
2016-02-16 11:00:00Z,196.055
2016-02-17 11:00:00Z,197.018
2016-02-18 11:00:00Z,194.27
2016-02-19 11:00:00Z,194.1148
2016-02-20 11:00:00Z,206.4381
2016-02-21 11:00:00Z,205.0197
2016-02-22 11:00:00Z,178.3969
2016-02-23 11:00:00Z,171.1205
2016-02-24 11:00:00Z,169.1897
2016-02-25 11:00:00Z,193.9042
2016-02-26 11:00:00Z,197.0397
2016-02-27 11:00:00Z,195.3296
2016-02-28 11:00:00Z,177.3409
2016-02-29 11:00:00Z,164.9797
2016-03-01 11:00:00Z,165.3053
2016-03-02 11:00:00Z,166.6357
2016-03-03 11:00:00Z,166.1429
2016-03-04 11:00:00Z,166.3281
2016-03-05 11:00:00Z,168.834
2016-03-06 11:00:00Z,169.7884
2016-03-07 11:00:00Z,172.0327
2016-03-08 11:00:00Z,157.3891
2016-03-09 11:00:00Z,166.0134
2016-03-10 11:00:00Z,174.8895
2016-03-11 11:00:00Z,179.5677
2016-03-12 11:00:00Z,180.231
2016-03-13 11:00:00Z,178.0518
2016-03-14 11:00:00Z,187.9433
2016-03-15 11:00:00Z,198.4797
2016-03-16 11:00:00Z,195.4611
2016-03-17 11:00:00Z,200.8743
2016-03-18 11:00:00Z,203.0525
2016-03-19 11:00:00Z,202.8626
2016-03-20 11:00:00Z,202.5729
2016-03-21 11:00:00Z,202.6689
2016-03-22 11:00:00Z,203.9405
2016-03-23 11:00:00Z,202.9144
2016-03-24 11:00:00Z,202.0786
2016-03-25 11:00:00Z,200.8498
2016-03-26 11:00:00Z,200.8796
2016-03-27 11:00:00Z,218.7814
2016-03-28 11:00:00Z,223.4671
2016-03-29 11:00:00Z,291.6234
2016-03-30 11:00:00Z,228.7802
2016-03-31 11:00:00Z,211.6857
2016-04-01 11:00:00Z,203.1695
2016-04-02 11:00:00Z,198.3162
2016-04-03 11:00:00Z,196.7165
2016-04-04 11:00:00Z,196.626
2016-04-05 11:00:00Z,198.2966
2016-04-06 11:00:00Z,218.5204
