Dato;Vekt;Fisk;Redskap;Sone
2016-06-19;0.3;Sjøørret;Sluk;Alle åpne soner
2016-06-21;0.7;Sjøørret;Flue;Alle åpne soner
2016-06-22;0.4;Sjøørret;Sluk;Alle åpne soner
2016-06-22;0.6;Sjøørret;Flue;Alle åpne soner
2016-06-29;0.5;Sjøørret;Sluk;Alle åpne soner
2016-06-30;1.35;Sjøørret;Flue;Alle åpne soner
2016-07-01;0.4;Sjøørret;Sluk;Alle åpne soner
2016-07-01;4.2;Laks;Flue;Alle åpne soner
2016-07-01;0.4;Sjøørret;Sluk;Alle åpne soner
2016-07-01;0.8;Sjøørret;Flue;Alle åpne soner
2016-07-01;2.75;Laks;Sluk;Alle åpne soner
2016-07-01;3.6;Laks;Sluk;Alle åpne soner
2016-07-02;0.7;Sjøørret;Flue;Alle åpne soner
2016-07-02;3.3;Laks;Sluk;Alle åpne soner
2016-07-02;1.4;Laks;Sluk;Alle åpne soner
2016-07-02;0.6;Sjøørret;Sluk;Alle åpne soner
2016-07-03;1.1;Sjøørret;Flue;Alle åpne soner
2016-07-03;0.9;Sjøørret;Flue;Alle åpne soner
2016-07-03;1.6;Sjøørret;Flue;Alle åpne soner
2016-07-04;2;Laks;Sluk;Alle åpne soner
2016-07-04;1.2;Sjøørret;Flue;Alle åpne soner
2016-07-04;1.1;Laks;Flue;Alle åpne soner
2016-07-04;1.2;Laks;Flue;Alle åpne soner
2016-07-04;5;Laks;Flue;Alle åpne soner
2016-07-04;1;Sjøørret;Flue;Alle åpne soner
2016-07-04;1.4;Laks;Flue;Alle åpne soner
2016-07-04;0.6;Sjøørret;Meitemark;Alle åpne soner
2016-07-04;3.1;Laks;Meitemark;Alle åpne soner
2016-07-04;0.7;Sjøørret;Flue;Alle åpne soner
2016-07-05;0.8;Laks;Flue;Alle åpne soner
2016-07-05;1;Sjøørret;Sluk;Alle åpne soner
2016-07-05;1.6;Laks;Flue;Alle åpne soner
2016-07-09;5;Laks;Sluk;Alle åpne soner
2016-07-09;1.8;Laks;Flue;Alle åpne soner
2016-07-23;3;Laks;Sluk;Alle åpne soner
2016-07-24;4.7;Laks;Sluk;Alle åpne soner
2016-07-26;0.8;Sjøørret;Sluk;Alle åpne soner
2016-07-29;2.8;Laks;Sluk;Alle åpne soner
2016-08-04;0.7;Sjøørret;Sluk;Alle åpne soner
2016-08-04;1;Sjøørret;Flue;Alle åpne soner
2016-08-04;0.8;Sjøørret;Sluk;Alle åpne soner
2016-08-04;5.2;Laks;Sluk;Alle åpne soner
2016-08-05;0.9;Laks;Sluk;Alle åpne soner
2016-08-05;1;Sjøørret;Flue;Alle åpne soner
2016-08-05;0.8;Sjøørret;Flue;Alle åpne soner
2016-08-05;1.3;Laks;Sluk;Alle åpne soner
2016-08-05;0.6;Sjøørret;Flue;Alle åpne soner
2016-08-05;0.7;Sjøørret;Flue;Alle åpne soner
2016-08-05;0.6;Sjøørret;Sluk;Alle åpne soner
2016-08-05;1;Laks;Sluk;Alle åpne soner
2016-08-05;1.2;Laks;Sluk;Alle åpne soner
2016-08-05;1.2;Laks;Sluk;Alle åpne soner
2016-08-06;1.1;Laks;Sluk;Alle åpne soner
2016-08-06;1;Sjøørret;Flue;Alle åpne soner
2016-08-06;0.8;Sjøørret;Flue;Alle åpne soner
2016-08-06;2;Laks;Flue;Alle åpne soner
2016-08-07;0.9;Sjøørret;Sluk;Alle åpne soner
2016-08-08;1.4;Laks;Sluk;Alle åpne soner
2016-08-08;1;Laks;Sluk;Alle åpne soner
2016-08-08;0.6;Laks;Flue;Alle åpne soner
2016-08-08;1;Sjøørret;Sluk;Alle åpne soner
2016-08-08;2;Laks;Sluk;Alle åpne soner
2016-08-08;0.4;Sjøørret;Sluk;Alle åpne soner
2016-08-08;1;Sjøørret;Sluk;Alle åpne soner
2016-08-08;0.6;Sjøørret;Flue;Alle åpne soner
2016-08-09;0.8;Sjøørret;Sluk;Alle åpne soner
2016-08-09;0.7;Sjøørret;Sluk;Alle åpne soner
2016-08-09;0.6;Sjøørret;Sluk;Alle åpne soner
2016-08-09;1.3;Laks;Sluk;Alle åpne soner
2016-08-09;1.1;Laks;Sluk;Alle åpne soner
2016-08-09;3.7;Laks;Sluk;Alle åpne soner
2016-08-09;1.9;Laks;Flue;Alle åpne soner
2016-08-09;3.6;Laks;Sluk;Alle åpne soner
2016-08-09;2.1;Laks;Sluk;Alle åpne soner
2016-08-12;3;Laks;Sluk;Alle åpne soner
2016-08-13;1;Sjøørret;Sluk;Alle åpne soner
2016-08-13;1;Laks;Sluk;Alle åpne soner
2016-08-13;0.8;Sjøørret;Flue;Alle åpne soner
2016-08-13;1;Sjøørret;Sluk;Alle åpne soner
2016-08-13;1.5;Laks;Sluk;Alle åpne soner
2016-08-13;1.3;Sjøørret;Flue;Alle åpne soner
2016-08-15;0.9;Sjøørret;Sluk;Alle åpne soner
2016-08-15;0.8;Sjøørret;Flue;Alle åpne soner
2016-08-15;0.6;Sjøørret;Flue;Alle åpne soner
2016-08-17;1.5;Sjøørret;Sluk;Alle åpne soner
2016-08-20;0.7;Sjøørret;Sluk;Alle åpne soner
2016-08-21;0.5;Sjøørret;Sluk;Alle åpne soner
2016-08-22;0.8;Sjøørret;Flue;Alle åpne soner
2016-08-22;1.5;Laks;Sluk;Alle åpne soner
