Dato;Vannforing_m3s
2016-01-01;23.98754
2016-01-02;19.87346
2016-01-03;14.5982
2016-01-04;10.63661
2016-01-05;8.267887
2016-01-06;6.755977
2016-01-07;5.661506
2016-01-08;4.993324
2016-01-09;4.741021
2016-01-10;3.949255
2016-01-11;4.664008
2016-01-12;4.669951
2016-01-13;4.123965
2016-01-14;3.728191
2016-01-15;3.325337
2016-01-16;3.067263
2016-01-17;2.502344
2016-01-18;2.530967
2016-01-19;2.607044
2016-01-20;2.385861
2016-01-21;2.199257
2016-01-22;2.180552
2016-01-23;2.178152
2016-01-24;2.171912
2016-01-25;2.654037
2016-01-26;7.074123
2016-01-27;42.323
2016-01-28;51.02537
2016-01-29;37.65614
2016-01-30;52.39513
2016-01-31;27.58549
2016-02-01;18.30991
2016-02-02;27.90532
2016-02-03;39.26852
2016-02-04;19.91198
2016-02-05;13.11134
2016-02-06;14.0691
2016-02-07;41.5393
2016-02-08;45.68376
2016-02-09;55.2149
2016-02-10;29.99936
2016-02-11;19.36064
2016-02-12;13.40789
2016-02-13;9.352314
2016-02-14;7.068511
2016-02-15;5.553888
2016-02-16;4.785528
2016-02-17;4.577458
2016-02-18;4.076809
2016-02-19;3.770231
2016-02-20;12.11807
2016-02-21;16.94907
2016-02-22;12.09733
2016-02-23;9.191083
2016-02-24;7.282603
2016-02-25;5.972809
2016-02-26;4.964441
2016-02-27;4.316892
2016-02-28;3.856081
2016-02-29;3.435438
2016-03-01;3.383898
2016-03-02;3.483981
2016-03-03;3.80003
2016-03-04;4.953478
2016-03-05;5.360609
2016-03-06;4.806101
2016-03-07;4.464342
2016-03-08;3.998585
2016-03-09;3.736124
2016-03-10;3.698336
2016-03-11;3.847624
2016-03-12;3.71578
2016-03-13;3.684688
2016-03-14;6.280454
2016-03-15;11.28889
2016-03-16;12.68215
2016-03-17;13.19308
2016-03-18;13.52594
2016-03-19;10.79876
2016-03-20;9.052188
2016-03-21;8.149151
2016-03-22;7.533484
2016-03-23;6.937816
2016-03-24;6.068305
2016-03-25;5.802049
2016-03-26;6.555604
2016-03-27;14.47824
2016-03-28;22.34363
2016-03-29;34.4741
2016-03-30;28.92165
2016-03-31;15.50702
2016-04-01;10.21608
2016-04-02;8.090537
2016-04-03;8.282527
2016-04-04;8.919094
2016-04-05;9.379293
2016-04-06;9.24126
2016-04-07;8.752188
2016-04-08;7.888492
2016-04-09;6.676857
2016-04-10;5.582312
2016-04-11;4.984045
2016-04-12;4.486495
2016-04-13;3.972661
2016-04-14;3.589079
2016-04-15;3.350576
2016-04-16;3.387444
2016-04-17;5.411075
2016-04-18;5.357107
2016-04-19;5.096966
2016-04-20;4.425339
2016-04-21;3.72404
2016-04-22;3.254961
2016-04-23;2.895657
2016-04-24;2.653731
2016-04-25;2.414447
2016-04-26;2.332191
2016-04-27;2.193813
2016-04-28;2.153524
2016-04-29;3.104434
2016-04-30;6.86937
2016-05-01;14.08713
2016-05-02;8.016988
2016-05-03;10.84081
2016-05-04;9.942784
2016-05-05;6.745934
2016-05-06;5.332142
2016-05-07;4.434319
2016-05-08;3.790804
2016-05-09;3.370427
2016-05-10;2.942578
2016-05-11;2.595315
2016-05-12;2.317765
2016-05-13;2.141059
2016-05-14;2.209151
2016-05-15;2.115642
2016-05-16;1.901839
2016-05-17;1.716047
2016-05-18;1.571789
2016-05-19;1.471092
2016-05-20;1.443066
2016-05-21;1.626175
2016-05-22;4.064975
2016-05-23;12.01937
2016-05-24;6.776592
2016-05-25;4.715797
2016-05-26;3.664426
2016-05-27;3.027072
2016-05-28;2.599513
2016-05-29;2.271598
2016-05-30;2.469014
2016-05-31;5.031972
2016-06-01;4.020483
2016-06-02;3.009297
